,Date,Total
972,09/10/2011,126
973,09/11/2011,109
974,09/12/2011,392
975,09/13/2011,333
976,09/14/2011,327
977,09/15/2011,340
978,09/16/2011,330
979,09/17/2011,92
980,09/18/2011,109
981,09/19/2011,396
982,09/20/2011,313
983,09/21/2011,371
984,09/22/2011,316
985,09/23/2011,347
986,09/24/2011,145
987,09/25/2011,178
988,09/26/2011,424
989,09/27/2011,359
990,09/28/2011,343
991,09/29/2011,351
992,09/30/2011,341
993,10/01/2011,193
994,10/02/2011,152
995,10/03/2011,509
996,10/04/2011,428
997,10/05/2011,272
998,10/06/2011,299
999,10/07/2011,315
1000,10/08/2011,184
1001,10/09/2011,118
1002,10/10/2011,450
1003,10/11/2011,371
1004,10/12/2011,295
1005,10/13/2011,335
1006,10/14/2011,328
1007,10/15/2011,123
1008,10/16/2011,119
1009,10/17/2011,472
1010,10/18/2011,298
1011,10/19/2011,345
1012,10/20/2011,309
1013,10/21/2011,318
1014,10/22/2011,130
1015,10/23/2011,121
1016,10/24/2011,462
1017,10/25/2011,332
1018,10/26/2011,317
1019,10/27/2011,314
1020,10/28/2011,364
1021,10/29/2011,160
1022,10/30/2011,141
1023,10/31/2011,428
1024,11/01/2011,353
1025,11/02/2011,404
1026,11/03/2011,371
1027,11/04/2011,396
1028,11/05/2011,166
1029,11/06/2011,136
1030,11/07/2011,396
1031,11/08/2011,354
1032,11/09/2011,269
1033,11/10/2011,330
1034,11/11/2011,324
1035,11/12/2011,168
1036,11/13/2011,142
1037,11/14/2011,407
1038,11/15/2011,326
1039,11/16/2011,422
1040,11/17/2011,342
1041,11/18/2011,363
1042,11/19/2011,146
1043,11/20/2011,119
1044,11/21/2011,480
1045,11/22/2011,403
1046,11/23/2011,361
1047,11/25/2011,379
1048,11/26/2011,185
1049,11/27/2011,158
1050,11/28/2011,510
1051,11/29/2011,436
1052,11/30/2011,338
1053,12/01/2011,411
1054,12/02/2011,392
1055,12/03/2011,177
1056,12/04/2011,131
1057,12/05/2011,402
1058,12/06/2011,322
1059,12/07/2011,351
1060,12/08/2011,355
1061,12/09/2011,312
1062,12/10/2011,111
1063,12/11/2011,156
1064,12/12/2011,484
1065,12/13/2011,362
1066,12/14/2011,351
1067,12/15/2011,310
1068,12/16/2011,395
1069,12/17/2011,162
1070,12/18/2011,155
1071,12/19/2011,522
1072,12/20/2011,390
1073,12/21/2011,360
1074,12/22/2011,358
1075,12/23/2011,351
1076,12/24/2011,84
1077,12/26/2011,385
1078,12/27/2011,418
1079,12/28/2011,404
1080,12/29/2011,405
1081,12/30/2011,388
1082,12/31/2011,157
1083,01/02/2012,504
1084,01/03/2012,443
1085,01/04/2012,394
1086,01/05/2012,334
1087,01/06/2012,358
1088,01/07/2012,139
1089,01/08/2012,178
1090,01/09/2012,472
1091,01/10/2012,375
1092,01/11/2012,332
1093,01/12/2012,313
1094,01/13/2012,358
1095,01/14/2012,178
1096,01/15/2012,130
1097,01/16/2012,501
1098,01/17/2012,405
1099,01/18/2012,412
1100,01/19/2012,372
1101,01/20/2012,392
1102,01/21/2012,175
1103,01/22/2012,115
1104,01/23/2012,481
1105,01/24/2012,413
1106,01/25/2012,430
1107,01/26/2012,371
1108,01/27/2012,397
1109,01/28/2012,170
1110,01/29/2012,142
1111,01/30/2012,491
1112,01/31/2012,362
1113,02/01/2012,436
1114,02/02/2012,410
1115,02/03/2012,358
1116,02/04/2012,165
1117,02/05/2012,142
1118,02/06/2012,462
1119,02/07/2012,363
1120,02/08/2012,339
1121,02/09/2012,345
1122,02/10/2012,386
1123,02/11/2012,187
1124,02/12/2012,171
1125,02/13/2012,461
1126,02/14/2012,430
1127,02/15/2012,395
1128,02/16/2012,385
1129,02/17/2012,397
1130,02/18/2012,155
1131,02/19/2012,170
1132,02/20/2012,452
1133,02/21/2012,455
1134,02/22/2012,391
1135,02/23/2012,357
1136,02/24/2012,418
1137,02/25/2012,173
1138,02/26/2012,185
1139,02/27/2012,498
1140,02/28/2012,310
1141,02/29/2012,345
1142,03/01/2012,488
1143,03/02/2012,381
1144,03/03/2012,143
1145,03/04/2012,151
1146,03/05/2012,602
1147,03/06/2012,346
1148,03/07/2012,353
1149,03/08/2012,334
1150,03/09/2012,422
1151,03/10/2012,197
1152,03/11/2012,184
1153,03/12/2012,486
1154,03/13/2012,362
1155,03/14/2012,408
1156,03/15/2012,337
1157,03/16/2012,361
1158,03/17/2012,179
1159,03/18/2012,145
1160,03/19/2012,429
1161,03/20/2012,373
1162,03/21/2012,379
1163,03/22/2012,342
1164,03/23/2012,372
1165,03/24/2012,175
1166,03/25/2012,131
1167,03/26/2012,467
1168,03/27/2012,390
1169,03/28/2012,365
